Date : 2022-12-10 00:46:55
Directory : /Users/maciejfratczak/sps
Total : 489 files,  21437 codes, 310 comments, 2466 blanks, all 24213 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/maciejfratczak/sps/frontend/src/app/core/api/drivers.api.spec.ts                                                                  | TypeScript         |         64 |          4 |          7 |         75 |
| /Users/maciejfratczak/sps/frontend/src/app/core/api/drivers.api.ts                                                                       | TypeScript         |         60 |          0 |         10 |         70 |
| /Users/maciejfratczak/sps/frontend/src/app/core/api/parking-lot.api.spec.ts                                                              | TypeScript         |         94 |          0 |         19 |        113 |
| /Users/maciejfratczak/sps/frontend/src/app/core/api/parking-lot.api.ts                                                                   | TypeScript         |         48 |          0 |          9 |         57 |
| /Users/maciejfratczak/sps/frontend/src/app/core/api/reservation.api.ts                                                                   | TypeScript         |         53 |          0 |          9 |         62 |
| /Users/maciejfratczak/sps/frontend/src/app/core/core.module.ts                                                                           | TypeScript         |         33 |          0 |          3 |         36 |
| /Users/maciejfratczak/sps/frontend/src/app/core/guards/auth.guard.spec.ts                                                                | TypeScript         |         66 |          0 |          7 |         73 |
| /Users/maciejfratczak/sps/frontend/src/app/core/guards/auth.guard.ts                                                                     | TypeScript         |         53 |          0 |          4 |         57 |
| /Users/maciejfratczak/sps/frontend/src/app/core/guards/role.guard.ts                                                                     | TypeScript         |         53 |          0 |          9 |         62 |
| /Users/maciejfratczak/sps/frontend/src/app/core/interceptor/auth-token.interceptor.ts                                                    | TypeScript         |         54 |          0 |          5 |         59 |
| /Users/maciejfratczak/sps/frontend/src/app/core/model/auth.model.ts                                                                      | TypeScript         |          3 |          0 |          1 |          4 |
| /Users/maciejfratczak/sps/frontend/src/app/core/model/common.model.ts                                                                    | TypeScript         |         29 |          0 |          3 |         32 |
| /Users/maciejfratczak/sps/frontend/src/app/core/model/driver.model.ts                                                                    | TypeScript         |         25 |          0 |          2 |         27 |
| /Users/maciejfratczak/sps/frontend/src/app/core/model/error.model.ts                                                                     | TypeScript         |          9 |          0 |          2 |         11 |
| /Users/maciejfratczak/sps/frontend/src/app/core/model/parking-lot.model.ts                                                               | TypeScript         |         45 |          0 |          8 |         53 |
| /Users/maciejfratczak/sps/frontend/src/app/core/model/reservation.model.ts                                                               | TypeScript         |         70 |          0 |          9 |         79 |
| /Users/maciejfratczak/sps/frontend/src/app/core/service/google.auth.service.ts                                                           | TypeScript         |        150 |          1 |         24 |        175 |
| /Users/maciejfratczak/sps/frontend/src/app/core/service/toast.service.ts                                                                 | TypeScript         |          5 |          0 |          2 |          7 |
| /Users/maciejfratczak/sps/frontend/src/app/core/state/auth/auth.model.ts                                                                 | TypeScript         |         32 |          0 |          3 |         35 |
| /Users/maciejfratczak/sps/frontend/src/app/core/state/auth/auth.query.ts                                                                 | TypeScript         |         24 |          0 |          6 |         30 |
| /Users/maciejfratczak/sps/frontend/src/app/core/state/auth/auth.service.spec.ts                                                          | TypeScript         |        200 |          3 |         13 |        216 |
| /Users/maciejfratczak/sps/frontend/src/app/core/state/auth/auth.service.ts                                                               | TypeScript         |        117 |          0 |         18 |        135 |
| /Users/maciejfratczak/sps/frontend/src/app/core/state/auth/auth.store.ts                                                                 | TypeScript         |         11 |          0 |          3 |         14 |
| /Users/maciejfratczak/sps/frontend/src/app/core/state/router/router.model.ts                                                             | TypeScript         |         29 |          0 |          2 |         31 |
| /Users/maciejfratczak/sps/frontend/src/app/core/state/router/router.query.ts                                                             | TypeScript         |         65 |          0 |         14 |         79 |
| /Users/maciejfratczak/sps/frontend/src/app/core/state/router/router.service.ts                                                           | TypeScript         |        143 |          2 |         28 |        173 |
| /Users/maciejfratczak/sps/frontend/src/app/core/translation-keys.ts                                                                      | TypeScript         |        212 |          0 |          1 |        213 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/component.html                                                               | HTML               |          9 |          0 |          2 |         11 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/component.scss                                                               | SCSS               |         25 |          0 |          6 |         31 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/component.ts                                                                 | TypeScript         |         37 |          0 |          4 |         41 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/module.ts                                                                    | TypeScript         |         21 |          0 |          2 |         23 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/parking-lots/list/list.component.html                                        | HTML               |         28 |          0 |          2 |         30 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/parking-lots/list/list.component.scss                                        | SCSS               |          4 |          0 |          1 |          5 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/parking-lots/list/list.component.ts                                          | TypeScript         |         13 |          0 |          3 |         16 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/parking-lots/module.ts                                                       | TypeScript         |         10 |          0 |          3 |         13 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/parking-lots/routing.ts                                                      | TypeScript         |         24 |          0 |          2 |         26 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/reservations/create/create.component.html                                    | HTML               |         81 |          0 |          1 |         82 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/reservations/create/create.component.scss                                    | SCSS               |         17 |          0 |          6 |         23 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/reservations/create/create.component.ts                                      | TypeScript         |         91 |          0 |         16 |        107 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/reservations/details/details.component.html                                  | HTML               |         54 |          0 |          1 |         55 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/reservations/details/details.component.scss                                  | SCSS               |         28 |          0 |         14 |         42 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/reservations/details/details.component.spec.ts                               | TypeScript         |         17 |          0 |          6 |         23 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/reservations/details/details.component.ts                                    | TypeScript         |         37 |          0 |          5 |         42 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/reservations/edit-time-dialog/edit-time-dialog.component.html                | HTML               |          1 |          0 |          1 |          2 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/reservations/edit-time-dialog/edit-time-dialog.component.scss                | SCSS               |          0 |          0 |          1 |          1 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/reservations/edit-time-dialog/edit-time-dialog.component.spec.ts             | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/reservations/edit-time-dialog/edit-time-dialog.component.ts                  | TypeScript         |         11 |          0 |          5 |         16 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/reservations/list/list.component.html                                        | HTML               |         63 |          0 |          2 |         65 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/reservations/list/list.component.scss                                        | SCSS               |         11 |          0 |          4 |         15 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/reservations/list/list.component.spec.ts                                     | TypeScript         |         17 |          0 |          6 |         23 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/reservations/list/list.component.ts                                          | TypeScript         |         35 |          0 |          4 |         39 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/reservations/module.ts                                                       | TypeScript         |         24 |          0 |          2 |         26 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/reservations/reservation.base.component.ts                                   | TypeScript         |         56 |          0 |          6 |         62 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/reservations/routing.ts                                                      | TypeScript         |         51 |          0 |          2 |         53 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/routing.ts                                                                   | TypeScript         |         47 |          0 |          2 |         49 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/state/driver/driver.query.ts                                                 | TypeScript         |         28 |          0 |          4 |         32 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/state/driver/driver.service.ts                                               | TypeScript         |         89 |          1 |          6 |         96 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/state/driver/driver.store.ts                                                 | TypeScript         |         35 |          0 |          2 |         37 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/state/parking-lot/parking-lot.query.ts                                       | TypeScript         |         11 |          0 |          1 |         12 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/state/parking-lot/parking-lot.service.ts                                     | TypeScript         |         19 |          0 |          3 |         22 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/state/parking-lot/parking-lot.store.ts                                       | TypeScript         |         11 |          0 |          2 |         13 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/state/reservation/reservations.query.ts                                      | TypeScript         |         38 |          0 |          5 |         43 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/state/reservation/reservations.service.ts                                    | TypeScript         |        159 |          0 |         14 |        173 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/state/reservation/reservations.store.ts                                      | TypeScript         |         24 |          0 |          2 |         26 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/vehicles/add-vehicle-dialog/add-vehicle-dialog.component.html                | HTML               |         21 |          0 |          1 |         22 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/vehicles/add-vehicle-dialog/add-vehicle-dialog.component.scss                | SCSS               |          0 |          0 |          1 |          1 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/vehicles/add-vehicle-dialog/add-vehicle-dialog.component.ts                  | TypeScript         |         38 |          0 |          7 |         45 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/vehicles/module.ts                                                           | TypeScript         |         17 |          0 |          2 |         19 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/vehicles/routing.ts                                                          | TypeScript         |         24 |          0 |          2 |         26 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/vehicles/vehicles.component.html                                             | HTML               |         17 |          0 |          1 |         18 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/vehicles/vehicles.component.scss                                             | SCSS               |         13 |          0 |          1 |         14 |
| /Users/maciejfratczak/sps/frontend/src/app/driver-dashboard/vehicles/vehicles.component.ts                                               | TypeScript         |         35 |          0 |          4 |         39 |
| /Users/maciejfratczak/sps/frontend/src/app/error/error.component.html                                                                    | HTML               |         11 |          0 |          1 |         12 |
| /Users/maciejfratczak/sps/frontend/src/app/error/error.component.scss                                                                    | SCSS               |         13 |          0 |          1 |         14 |
| /Users/maciejfratczak/sps/frontend/src/app/error/error.component.spec.ts                                                                 | TypeScript         |         26 |          0 |          5 |         31 |
| /Users/maciejfratczak/sps/frontend/src/app/error/error.component.ts                                                                      | TypeScript         |         12 |          0 |          3 |         15 |
| /Users/maciejfratczak/sps/frontend/src/app/error/error.handler.service.spec.ts                                                           | TypeScript         |         58 |          0 |          4 |         62 |
| /Users/maciejfratczak/sps/frontend/src/app/error/error.handler.service.ts                                                                | TypeScript         |         24 |          0 |          3 |         27 |
| /Users/maciejfratczak/sps/frontend/src/app/error/error.module.ts                                                                         | TypeScript         |         19 |          0 |          2 |         21 |
| /Users/maciejfratczak/sps/frontend/src/app/error/error.routing.module.ts                                                                 | TypeScript         |         37 |          0 |          3 |         40 |
| /Users/maciejfratczak/sps/frontend/src/app/error/internal-server-error/internal-server-error.component.html                              | HTML               |          2 |          0 |          1 |          3 |
| /Users/maciejfratczak/sps/frontend/src/app/error/internal-server-error/internal-server-error.component.scss                              | SCSS               |          0 |          0 |          1 |          1 |
| /Users/maciejfratczak/sps/frontend/src/app/error/internal-server-error/internal-server-error.component.ts                                | TypeScript         |         10 |          0 |          2 |         12 |
| /Users/maciejfratczak/sps/frontend/src/app/error/not-found/not-found.component.html                                                      | HTML               |          4 |          0 |          2 |          6 |
| /Users/maciejfratczak/sps/frontend/src/app/error/not-found/not-found.component.scss                                                      | SCSS               |          5 |          0 |          1 |          6 |
| /Users/maciejfratczak/sps/frontend/src/app/error/not-found/not-found.component.ts                                                        | TypeScript         |         10 |          0 |          2 |         12 |
| /Users/maciejfratczak/sps/frontend/src/app/error/unauthorized/unauthorized.component.html                                                | HTML               |          4 |          0 |          1 |          5 |
| /Users/maciejfratczak/sps/frontend/src/app/error/unauthorized/unauthorized.component.scss                                                | SCSS               |          0 |          0 |          1 |          1 |
| /Users/maciejfratczak/sps/frontend/src/app/error/unauthorized/unauthorized.component.ts                                                  | TypeScript         |         10 |          0 |          2 |         12 |
| /Users/maciejfratczak/sps/frontend/src/app/routes.ts                                                                                     | TypeScript         |         40 |          0 |          4 |         44 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/breadcrumbs/breadcrumbs.component.html                                      | HTML               |         11 |          0 |          1 |         12 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/breadcrumbs/breadcrumbs.component.scss                                      | SCSS               |         19 |          0 |          1 |         20 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/breadcrumbs/breadcrumbs.component.spec.ts                                   | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/breadcrumbs/breadcrumbs.component.ts                                        | TypeScript         |         36 |          0 |          4 |         40 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/card/card.component.html                                                    | HTML               |         20 |          0 |          2 |         22 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/card/card.component.scss                                                    | SCSS               |         18 |          0 |          5 |         23 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/card/card.component.ts                                                      | TypeScript         |         19 |          0 |          6 |         25 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/chip/chip.component.html                                                    | HTML               |          5 |          0 |          1 |          6 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/chip/chip.component.scss                                                    | SCSS               |         12 |          0 |          3 |         15 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/chip/chip.component.ts                                                      | TypeScript         |         11 |          0 |          5 |         16 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/confirm-action-dialog/confirm-action-dialog.component.html                  | HTML               |         18 |          0 |          1 |         19 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/confirm-action-dialog/confirm-action-dialog.component.scss                  | SCSS               |          0 |          0 |          1 |          1 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/confirm-action-dialog/confirm-action-dialog.component.spec.ts               | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/confirm-action-dialog/confirm-action-dialog.component.ts                    | TypeScript         |         25 |          0 |          4 |         29 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/drawer/drawer.component.html                                                | HTML               |         12 |          0 |          1 |         13 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/drawer/drawer.component.scss                                                | SCSS               |         24 |          0 |          8 |         32 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/drawer/drawer.component.spec.ts                                             | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/drawer/drawer.component.ts                                                  | TypeScript         |         36 |          0 |          6 |         42 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/form-error/form-error.component.html                                        | HTML               |          3 |          0 |          1 |          4 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/form-error/form-error.component.scss                                        | SCSS               |          0 |          0 |          1 |          1 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/form-error/form-error.component.ts                                          | TypeScript         |         20 |          0 |          4 |         24 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/heading/heading.component.html                                              | HTML               |          3 |          0 |          1 |          4 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/heading/heading.component.scss                                              | SCSS               |         19 |          0 |          5 |         24 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/heading/heading.component.spec.ts                                           | TypeScript         |         17 |          0 |          6 |         23 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/heading/heading.component.ts                                                | TypeScript         |         16 |          0 |          4 |         20 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/hours-form/hours-form.component.html                                        | HTML               |         19 |          0 |          1 |         20 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/hours-form/hours-form.component.scss                                        | SCSS               |          3 |          0 |          1 |          4 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/hours-form/hours-form.component.spec.ts                                     | TypeScript         |         88 |          0 |         13 |        101 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/hours-form/hours-form.component.ts                                          | TypeScript         |        112 |          0 |         22 |        134 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/link/link.component.html                                                    | HTML               |          3 |          0 |          1 |          4 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/link/link.component.scss                                                    | SCSS               |          9 |          0 |          2 |         11 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/link/link.component.spec.ts                                                 | TypeScript         |         17 |          0 |          6 |         23 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/link/link.component.ts                                                      | TypeScript         |         10 |          0 |          2 |         12 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/loading-spinner/loading-spinner.component.html                              | HTML               |          3 |          0 |          1 |          4 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/loading-spinner/loading-spinner.component.scss                              | SCSS               |          4 |          0 |          1 |          5 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/loading-spinner/loading-spinner.component.ts                                | TypeScript         |          7 |          0 |          2 |          9 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/navbar/navbar.component.html                                                | HTML               |         26 |          0 |          1 |         27 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/navbar/navbar.component.scss                                                | SCSS               |         11 |          0 |          1 |         12 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/navbar/navbar.component.ts                                                  | TypeScript         |         31 |          0 |          6 |         37 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/number-chip/number-chip.component.html                                      | HTML               |          3 |          0 |          1 |          4 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/number-chip/number-chip.component.scss                                      | SCSS               |         10 |          0 |          2 |         12 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/number-chip/number-chip.component.ts                                        | TypeScript         |          7 |          0 |          2 |          9 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/page-header/page-header.component.html                                      | HTML               |          8 |          0 |          1 |          9 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/page-header/page-header.component.scss                                      | SCSS               |         13 |          0 |          1 |         14 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/page-header/page-header.component.ts                                        | TypeScript         |         12 |          0 |          3 |         15 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/panel/panel.component.html                                                  | HTML               |         12 |          0 |          1 |         13 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/panel/panel.component.scss                                                  | SCSS               |         14 |          0 |          1 |         15 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/panel/panel.component.spec.ts                                               | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/panel/panel.component.ts                                                    | TypeScript         |         13 |          0 |          4 |         17 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/parking-lot-expansion-panel/parking-lot-expansion-panel.component.html      | HTML               |         25 |          0 |          1 |         26 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/parking-lot-expansion-panel/parking-lot-expansion-panel.component.scss      | SCSS               |         10 |          0 |          1 |         11 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/parking-lot-expansion-panel/parking-lot-expansion-panel.component.ts        | TypeScript         |         12 |          0 |          3 |         15 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/parking-lots-table/parking-lots-table.component.html                        | HTML               |          6 |          0 |          1 |          7 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/parking-lots-table/parking-lots-table.component.scss                        | SCSS               |          0 |          0 |          1 |          1 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/parking-lots-table/parking-lots-table.component.spec.ts                     | TypeScript         |         25 |          0 |          6 |         31 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/parking-lots-table/parking-lots-table.component.ts                          | TypeScript         |         62 |          0 |          8 |         70 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/reservation-expansion-panel/reservation-expansion-panel.component.html      | HTML               |         29 |          0 |          1 |         30 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/reservation-expansion-panel/reservation-expansion-panel.component.scss      | SCSS               |         15 |          0 |          1 |         16 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/reservation-expansion-panel/reservation-expansion-panel.component.spec.ts   | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/reservation-expansion-panel/reservation-expansion-panel.component.ts        | TypeScript         |         13 |          0 |          3 |         16 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/reservation-status-chip/reservation-status-chip.component.html              | HTML               |          6 |          0 |          1 |          7 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/reservation-status-chip/reservation-status-chip.component.scss              | SCSS               |         31 |          0 |          7 |         38 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/reservation-status-chip/reservation-status-chip.component.ts                | TypeScript         |         28 |          0 |          5 |         33 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/reservations-table/reservations-table.component.html                        | HTML               |         30 |          0 |          2 |         32 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/reservations-table/reservations-table.component.scss                        | SCSS               |          5 |          0 |          2 |          7 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/reservations-table/reservations-table.component.spec.ts                     | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/reservations-table/reservations-table.component.ts                          | TypeScript         |        125 |          0 |         18 |        143 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/sync-table/sync-table.component.spec.ts                                     | TypeScript         |         17 |          0 |          6 |         23 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/sync-table/sync-table.component.ts                                          | TypeScript         |         32 |          0 |          7 |         39 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/table/table.component.html                                                  | HTML               |         38 |          0 |          2 |         40 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/table/table.component.scss                                                  | SCSS               |         24 |          0 |          8 |         32 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/table/table.component.ts                                                    | TypeScript         |         42 |          0 |         11 |         53 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/text/text.component.html                                                    | HTML               |          3 |          0 |          1 |          4 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/text/text.component.scss                                                    | SCSS               |         16 |          0 |          1 |         17 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/text/text.component.spec.ts                                                 | TypeScript         |         17 |          0 |          6 |         23 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/text/text.component.ts                                                      | TypeScript         |         16 |          0 |          4 |         20 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/time-left/time-left.component.html                                          | HTML               |         10 |          0 |          3 |         13 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/time-left/time-left.component.scss                                          | SCSS               |         11 |          0 |          1 |         12 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/time-left/time-left.component.spec.ts                                       | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/time-left/time-left.component.ts                                            | TypeScript         |         36 |          0 |          7 |         43 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/weekdays-form/weekdays-form.component.html                                  | HTML               |          8 |          0 |          1 |          9 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/weekdays-form/weekdays-form.component.scss                                  | SCSS               |          6 |          0 |          2 |          8 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/components/weekdays-form/weekdays-form.component.ts                                    | TypeScript         |         89 |          0 |         17 |        106 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/material.module.ts                                                                     | TypeScript         |         63 |          0 |          2 |         65 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/pipe/address.pipe.spec.ts                                                              | TypeScript         |         11 |          0 |          2 |         13 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/pipe/address.pipe.ts                                                                   | TypeScript         |         17 |          0 |          2 |         19 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/pipe/days.pipe.spec.ts                                                                 | TypeScript         |         60 |          0 |          8 |         68 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/pipe/days.pipe.ts                                                                      | TypeScript         |         35 |          0 |          5 |         40 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/pipe/hour.pipe.spec.ts                                                                 | TypeScript         |         11 |          0 |          2 |         13 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/pipe/hour.pipe.ts                                                                      | TypeScript         |          9 |          0 |          2 |         11 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/pipe/hours.pipe.spec.ts                                                                | TypeScript         |          7 |          0 |          2 |          9 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/pipe/hours.pipe.ts                                                                     | TypeScript         |         13 |          0 |          2 |         15 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/pipe/time.pipe.spec.ts                                                                 | TypeScript         |          7 |          0 |          2 |          9 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/pipe/time.pipe.ts                                                                      | TypeScript         |         26 |          0 |          4 |         30 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/service/material.toast.service.ts                                                      | TypeScript         |         27 |          0 |          3 |         30 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/service/paginator.intl.service.ts                                                      | TypeScript         |         32 |          0 |          9 |         41 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/shared.module.ts                                                                       | TypeScript         |         84 |          0 |          3 |         87 |
| /Users/maciejfratczak/sps/frontend/src/app/shared/validator.ts                                                                           | TypeScript         |        103 |          0 |         10 |        113 |
| /Users/maciejfratczak/sps/frontend/src/assets/i18n/en.json                                                                               | JSON               |        211 |          0 |          1 |        212 |
| /Users/maciejfratczak/sps/frontend/src/assets/i18n/pl.json                                                                               | JSON               |        211 |          0 |          1 |        212 |
| /Users/maciejfratczak/sps/frontend/src/assets/logo.svg                                                                                   | XML                |          4 |          0 |          1 |          5 |
| /Users/maciejfratczak/sps/frontend/src/environments/environment.prod.ts                                                                  | TypeScript         |          6 |          0 |          1 |          7 |
| /Users/maciejfratczak/sps/frontend/src/environments/environment.ts                                                                       | TypeScript         |          6 |          0 |          1 |          7 |
| /Users/maciejfratczak/sps/frontend/src/favicon.svg                                                                                       | XML                |          4 |          0 |          1 |          5 |
| /Users/maciejfratczak/sps/frontend/src/index.html                                                                                        | HTML               |         16 |          0 |          1 |         17 |
| /Users/maciejfratczak/sps/frontend/src/main.ts                                                                                           | TypeScript         |         10 |          0 |          4 |         14 |
| /Users/maciejfratczak/sps/frontend/src/polyfills.ts                                                                                      | TypeScript         |          1 |         47 |          5 |         53 |
| /Users/maciejfratczak/sps/frontend/src/styles.scss                                                                                       | SCSS               |         17 |          1 |          8 |         26 |
| /Users/maciejfratczak/sps/frontend/src/test.ts                                                                                           | TypeScript         |         22 |          4 |          5 |         31 |
